Year,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,U.S. Army Corps of Engineers,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration,Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget)
1989,2216,1499,48256,2570,294829,21468,11386,152689,5671,19680,5194,5275,23442,4576,23828,229334,30014,3256,20230,4906,124,-444,4291,11036,1736,29073,85,18709,227473,30727,-310,..........,-89074,-72822,-16252
1990,2231,1646,45858,3734,289694,22972,12083,175515,7219,20167,5814,5886,26087,4796,25642,253915,28976,3324,21690,5108,158,-170,10085,12429,1821,31949,692,17276,244998,68704,1626,..........,-98930,-77371,-21558
1991,2245,1997,53990,2585,261860,25196,12472,198095,6654,22751,6082,7670,34790,5149,27237,274606,31191,3341,23238,5769,193,445,11723,13878,2064,34808,613,19008,266395,76870,1317,..........,-110005,-83979,-26026
1992,2629,2308,56320,2566,286574,25832,15515,231550,7577,24470,6531,9208,47889,5927,29098,291005,33872,3565,24746,5950,186,457,11107,13961,2230,35596,546,24943,281418,14405,659,..........,-117111,-87372,-29739
1993,2394,2628,63019,2797,278510,30109,16933,253821,9653,25181,6879,9485,45452,6385,30958,296825,35461,3354,25957,5930,194,721,11524,14305,2429,36794,785,28143,298349,-17321,1441,..........,-119711,-86507,-33203
1994,2537,2677,60615,2915,268577,24557,17830,278887,10708,25845,7064,9369,37819,6784,33563,305550,37377,3483,26969,5855,231,332,10497,13694,2605,38596,779,31164,313881,3356,1103,..........,-123469,-87857,-35612
1995,2609,2903,56550,3401,259487,31205,17608,303060,9376,29044,7479,10149,32808,6263,35132,346875,37748,3745,27972,6351,215,679,11128,13378,2814,41276,677,31037,330370,-5996,-1969,..........,-137632,-97895,-39737
1996,2263,3059,54218,3702,253196,29727,16195,319788,9692,25236,6776,11049,33163,5730,35144,362862,36896,3627,28947,6046,202,560,9665,13881,2988,42870,873,30694,343869,2743,-180,..........,-134997,-92212,-42785
1997,2348,3259,52393,3782,258262,30009,14458,339514,10533,27527,6763,13076,31088,6029,36072,377491,39253,3598,30279,6164,221,882,10075,14360,3093,45404,333,34309,358372,-2813,-49,..........,-154969,-107272,-47697
1998,2572,3459,53800,4036,255793,31294,14414,350341,10617,30181,7222,14045,30580,5396,35554,389005,41724,3775,31204,6269,237,826,8886,14194,3143,46297,-77,37542,370068,10878,217,..........,-161034,-107353,-53681
1999,2592,3789,62690,5020,261196,31285,15879,359429,13321,32693,7783,16181,32995,6554,37672,385045,43125,3934,31987,6733,417,-413,10070,13636,3246,47519,57,40021,379212,6189,1021,..........,-159036,-99581,-59455
